experiment	experiment_id	condition	condition_id	stimulus_id	stimulus_name	page_id	item_id	text	question_id	question	response_true	distractor_1	distractor_2	distractor_3
reveil-zh	1	real	1	1	Bottle-Message	1	1	一百零一年前的漂流瓶@#@杨丹丹从未见过她的祖父。他去世于1946年，那时她尚未出生。但在2014年4月8 日星期二，她经历了一件匪夷所思的事，她收到了一个漂流瓶！这是她的祖父一百零一年前扔进黄河里的。大家都认为这是世界上最古老的漂流瓶。该漂流瓶正在一个博物馆里面展出，博物馆方联系且告知了杨丹丹此事。	1	是谁把漂流瓶扔进了黄河？	杨丹丹的祖父	杨丹丹	博物馆的一个工作人员	一个渔夫
reveil-zh	1	real	1	1	Bottle-Message	2	2	“这太不可思议了，”六十二岁的杨丹丹回忆起自己得知漂流瓶消息的那一天，“再平凡不过的某一天，突然有人敲响了我的家门。他站在门口，对我说，他这边有我祖父的书信。” 随后，杨丹丹从他那边得知，一个漂流瓶被意外发现，瓶中藏有一封书信，而信上赫然署着她祖父的名字。杨丹丹的这名访客是一名家谱研究员，经过一番寻访，他辗转找到了身在上海的她，尽管此时这封信早已被送往中国北部港口城市大连的海事博物馆。	2	杨丹丹的访客是什么身份？	家谱研究员	博物馆工作人员	邮递员	记者
reveil-zh	1	real	1	1	Bottle-Message	3	3	这只透明的酒瓶在水中漂流了有一百零一年了，最终被一名叫陈实的渔夫捕获，当时，他正驾着小船，在黄河流经中国北部城市济南的河域作业。博物馆的海洋与科学馆馆长王刚感慨地说，这是他所见过的最古老的漂流瓶。他表示：“我们曾发现过更古老的书信，但它们不是以漂流瓶的形式，它们如今都被珍藏在博物馆中。”他补充道：“然而，这封信至今仍与瓶子一同保存完好。这无疑是目前发现的最古老的漂流瓶，而且它历经百年风霜雨雪，依旧完好如初，实属难能可贵。”	3	这个瓶子是如何被发现的？	由一名叫陈实的渔夫发现	它被冲上了黄河的河岸	由海洋与科学馆馆长王刚发现	一个小男孩在河边玩耍时发现的
reveil-zh	1	real	1	1	Bottle-Message	4	4	"研究人员推测，杨丹丹的祖父杨志远在1913年的一次由大学生社团组织的远足途中，将这只漂流瓶投入河中。当时，他年仅二十岁。信中的大部分内容已无法辨认，但信封正面的上海地址依然清晰可见。此外，作者还礼貌地请求发现者将信件寄回他的家庭住址。“他还在瓶中放入了当时的两张邮票，这样发现的人就无需自掏腰包支付邮资，”杨丹丹说道，“但他一定没想到，这封信竟然用了整整一百零一年才送达。”
她表示，尽管从未见过祖父——因为他早在她出生六年前、年仅五十四岁时便已去世——但当这封尘封百年的信件终于送达，她依然深受触动，仿佛穿越时空，与素未谋面的祖父产生了某种奇妙的联结。"	4	杨志远希望这封明信片最终抵达何处？	他的家中	由发现者自行保存	继续随河水漂流	被送往博物馆收藏
reveil-zh	1	real	1	1	Bottle-Message	5	5	“我对祖父的了解并不多，但我后来发现，他是一位思想开明的作家，他崇尚自由，尊重他人。“杨丹丹说道。”他年轻时于助人，乐善好施，后来与妻子和两个女儿一起游历全国各地。了解到他的生平让我感到无比开心，因为这让我清楚地看到了自己一些个性的根源。“就像她的祖父一样，杨丹丹也热爱文化，并喜欢四处旅行。她自认是一个思想开明的人。“祖父教给他两个女儿的东西，我的母亲又教给了我，而我也将这些价值观传承给了我的孩子们。”杨丹丹说。尽管收到这封漂流瓶信件让她感到惊喜和感动，但她仍然希望人们不要效仿祖父将装有信件的瓶子扔进黄河。“如今，黄河里已经充满了各种塑料瓶和垃圾，真的不应该再往里面扔东西了。”她叹息道。	5	以下哪项是杨丹丹与她的祖父共同拥有的特质？	思想开明	热爱写作	反对污染黄河	热爱博物馆
reveil-zh	1	real	1	1	Bottle-Message	6	6	这封信和漂流瓶将在大连海事博物馆展出，展览将持续至2014年5月初，届时专家将尝试破译信件剩余的内容。至于展览结束后漂流瓶的去向，目前尚无定论，但杨丹丹希望它能继续留在博物馆。“我们希望能找到几张祖父年轻时的照片，将它们与漂流瓶一同展出，这样参观者不仅能看到这封尘封百年的信件，还能透过影像，直观地感受到那位曾经站在黄河岸边，将瓶子投入水中的年轻人。”她说道。	6	展览结束后，杨丹丹希望漂流瓶何去何从？	她希望它留在大连海事博物馆	她并未明确表示希望瓶子如何处理	她希望参观者能与漂流瓶合影留念	她想把它带回家珍藏起来
reveil-zh	1	real	1	2	Autumn-Born	1	7	研究显示：秋季出生的孩子在体育方面表现更佳@#@你希望你的孩子在体育方面脱颖而出，进入校队，甚至未来有机会站上世界赛场吗？ 那么，尽量让你的未来奥运冠军或世界杯得主出生在十一月，或者退而求其次，十月也是不错的选择。一项研究发现，在校学生中，出生于这两个月的孩子整体体能水平高于同龄人。研究结果表明，十一月和十月出生的孩子比其他月份出生的同龄人更强壮、更有力量，尤其相比四月或六月出生的孩子，这种优势更加明显。来自埃塞克斯大学体育与运动科学中心的加文·桑德科克博士领导了这项研究，他指出，秋季出生的孩子在身体素质上享有“显而易见的先天优势”。	1	研究表明，四月或六月出生的孩子在体能方面表现如何？	他们比十一月和十月出生的孩子更弱	他们比所有孩子更强壮，除了十一月和十月出生的孩子	他们通常在体育方面表现出色	与其他孩子相比，他们在数学和科学考试中表现更好
reveil-zh	1	real	1	2	Autumn-Born	2	8	本次研究涵盖了来自埃塞克斯二十六所公立学校的八千五百五十名年龄在十至十六岁之间的男生和女生。所有受试者在2007年至2010年间参加了三项不同的体能测试：耐力、握力和下肢爆发力。研究结果表明，孩子的出生月份可能会对其心肺健康、肌肉力量和加速能力产生“显著影响”，而这些能力对于体育运动表现至关重要。未来几周举行的校运会，或许进一步验证了这一研究结论——在所有受试者中，十一月出生的孩子整体体能最强，他们在耐力和爆发力测试中排名第一，肌肉力量位列第二。十月出生的孩子紧随其后，在力量测试中得分最高，爆发力排名第三，而十二月出生的孩子的表现也较为接近。	2	科学家用什么方法评估孩子的体能？	手部肌肉力量测试	上肢力量测试	年龄评估	一英里跑步计时
reveil-zh	1	real	1	2	Autumn-Born	3	9	同班同学之间，仅仅因为出生月份不同，其体能差距可能会非常显著。“例如，我们发现，一名十一月出生的男孩，奔跑速度至少比四月出生的同龄人快10%，跳跃高度高12%，爆发力更是强15%。” 桑德科克博士表示，“这可能意味着巨大的身体优势。”这一差距最终可能成为决定谁能进入顶级竞技体育的关键因素。研究报告进一步强调：“能否进入精英体育领域，往往取决于个人身体素质的微小差异。” 也就是说，那些出生月份相对不利的孩子，或许在校队选拔中就已经被淘汰，从而影响他们未来的体育发展。这项研究结果已正式发表于《国际运动医学期刊》。	3	微小的体能差异可能决定什么？	是否能成为职业运动员	是否其从事的项目会被视为“精英”体育项目	是否可以进入较低体重级别的比赛	是否会对体育运动产生兴趣
reveil-zh	1	real	1	2	Autumn-Born	4	10	研究结果显示，学年初（即秋季）出生的孩子似乎享有“双重秋季优势”——他们不仅在学术上表现优异，现在看来，在体育方面也占据明显的身体素质优势。研究人员推测，这一现象可能与孕期末期母体内维生素D的摄入量有关。由于秋季出生的孩子在母体中的最后几个月正值夏季，他们得到了更充足的阳光照射，从而合成了更多的维生素D，这或许为他们的体能发展提供了先天优势。青少年体育信托基金首席执行官约翰·斯蒂尔也表示，孩子在学校初期接触体育的教育质量，对其未来的运动表现具有决定性影响。“如果孩子在早期得到高质量的体育启蒙，他们的身体素质、协调性和平衡能力都会更好，同时，他们也更有可能享受体育运动，并在未来脱颖而出。” 斯蒂尔说道。	4	斯蒂尔认为，高质量的体育启蒙可能带来哪些影响？	让孩子更享受体育活动	让孩子的社交环境对其体育表现有更高期望	让孩子因更多户外活动而摄取更多维生素D	让孩子在标准化考试中取得更好成绩
