experiment,experiment_id,condition,condition_id,stimulus_id,stimulus_name,page_id,item_id,text,question_id,question,response_true,distractor_1,distractor_2,distractor_3,para_id,page_word_id,para_word_id,stim_word_id,exp_word_id
reveil-zh,1,real,1,1,Bottle-Message,1,1,一,,,,,,,0,0,0,0,0
reveil-zh,1,real,1,1,Bottle-Message,1,1,百,,,,,,,0,1,1,1,1
reveil-zh,1,real,1,1,Bottle-Message,1,1,零,,,,,,,0,2,2,2,2
reveil-zh,1,real,1,1,Bottle-Message,1,1,一,,,,,,,0,3,3,3,3
reveil-zh,1,real,1,1,Bottle-Message,1,1,年,,,,,,,0,4,4,4,4
reveil-zh,1,real,1,1,Bottle-Message,1,1,前,,,,,,,0,5,5,5,5
reveil-zh,1,real,1,1,Bottle-Message,1,1,的,,,,,,,0,6,6,6,6
reveil-zh,1,real,1,1,Bottle-Message,1,1,漂,,,,,,,0,7,7,7,7
reveil-zh,1,real,1,1,Bottle-Message,1,1,流,,,,,,,0,8,8,8,8
reveil-zh,1,real,1,1,Bottle-Message,1,1,瓶,,,,,,,0,9,9,9,9
reveil-zh,1,real,1,1,Bottle-Message,1,1,杨,,,,,,,1,10,0,10,10
reveil-zh,1,real,1,1,Bottle-Message,1,1,丹,,,,,,,1,11,1,11,11
reveil-zh,1,real,1,1,Bottle-Message,1,1,丹,,,,,,,1,12,2,12,12
reveil-zh,1,real,1,1,Bottle-Message,1,1,从,,,,,,,1,13,3,13,13
reveil-zh,1,real,1,1,Bottle-Message,1,1,未,,,,,,,1,14,4,14,14
reveil-zh,1,real,1,1,Bottle-Message,1,1,见,,,,,,,1,15,5,15,15
reveil-zh,1,real,1,1,Bottle-Message,1,1,过,,,,,,,1,16,6,16,16
reveil-zh,1,real,1,1,Bottle-Message,1,1,她,,,,,,,1,17,7,17,17
reveil-zh,1,real,1,1,Bottle-Message,1,1,的,,,,,,,1,18,8,18,18
reveil-zh,1,real,1,1,Bottle-Message,1,1,祖,,,,,,,1,19,9,19,19
reveil-zh,1,real,1,1,Bottle-Message,1,1,父,,,,,,,1,20,10,20,20
reveil-zh,1,real,1,1,Bottle-Message,1,1,。,,,,,,,1,21,11,21,21
reveil-zh,1,real,1,1,Bottle-Message,1,1,他,,,,,,,1,22,12,22,22
reveil-zh,1,real,1,1,Bottle-Message,1,1,去,,,,,,,1,23,13,23,23
reveil-zh,1,real,1,1,Bottle-Message,1,1,世,,,,,,,1,24,14,24,24
reveil-zh,1,real,1,1,Bottle-Message,1,1,于,,,,,,,1,25,15,25,25
reveil-zh,1,real,1,1,Bottle-Message,1,1,一,,,,,,,1,26,16,26,26
reveil-zh,1,real,1,1,Bottle-Message,1,1,九,,,,,,,1,27,17,27,27
reveil-zh,1,real,1,1,Bottle-Message,1,1,四,,,,,,,1,28,18,28,28
reveil-zh,1,real,1,1,Bottle-Message,1,1,六,,,,,,,1,29,19,29,29
reveil-zh,1,real,1,1,Bottle-Message,1,1,年,,,,,,,1,30,20,30,30
reveil-zh,1,real,1,1,Bottle-Message,1,1,，,,,,,,,1,31,21,31,31
reveil-zh,1,real,1,1,Bottle-Message,1,1,那,,,,,,,1,32,22,32,32
reveil-zh,1,real,1,1,Bottle-Message,1,1,时,,,,,,,1,33,23,33,33
